filter,family,brain_area,n_area,n_v1,contrast_vs_v1,ci_low,ci_high,bootstrap_replicates
original_ge_q05,speed_up,LM,12323,72908,0.018553489769383313,0.01696532488350231,0.020576849038551972,5000
original_ge_q05,speed_up,RL,9871,72908,0.031574431402969005,0.029346916049916974,0.03338118138321052,5000
original_ge_q05,speed_up,AL,3861,72908,0.030114389274997655,0.026581191707080152,0.03283789664159885,5000
original_ge_q05,slow_down,LM,12323,72908,-0.05674071302005823,-0.059436460879064026,-0.054345633898895115,5000
original_ge_q05,slow_down,RL,9871,72908,-0.10629415865723979,-0.10914375081187312,-0.10308321912250698,5000
original_ge_q05,slow_down,AL,3861,72908,-0.10125953169429569,-0.10548483655396006,-0.09721339768627552,5000
original_ge_q10,contrast,LM,11491,69886,0.009639105594482,0.0057137387701495955,0.012955778150048511,5000
original_ge_q10,contrast,RL,8827,69886,0.018039062936829886,0.013896794382412713,0.021509343557891233,5000
original_ge_q10,contrast,AL,3550,69886,0.04558975297591927,0.040230829545232175,0.05090828620878546,5000
original_ge_q10,rotation,LM,11491,69886,-0.0033400991200809305,-0.006413338871035906,-0.0003602748190785007,5000
original_ge_q10,rotation,RL,8827,69886,-0.009937596187176378,-0.01316767142429553,-0.006688966826150729,5000
original_ge_q10,rotation,AL,3550,69886,0.01710890145765176,0.01331398749002979,0.021563681871696282,5000
original_ge_q10,translation,LM,11491,69886,0.054403950654639766,0.05130221541698434,0.05720236423410452,5000
original_ge_q10,translation,RL,8827,69886,0.0643766617034307,0.060957168701744,0.06852261544025959,5000
original_ge_q10,translation,AL,3550,69886,0.07140887506354876,0.06623681405307394,0.07697230719966934,5000
original_ge_q10,temporal_reverse,LM,11491,69886,-0.011334296157912926,-0.014186915106253462,-0.00888173028213185,5000
original_ge_q10,temporal_reverse,RL,8827,69886,-0.0057059721152906695,-0.009014071548498407,-0.002871153531895913,5000
original_ge_q10,temporal_reverse,AL,3550,69886,-0.013808235645617506,-0.018749280351670432,-0.008195117832091108,5000
original_ge_q10,speed_up,LM,11491,69886,0.01727498157381624,0.015232991562275264,0.019247906435246438,5000
original_ge_q10,speed_up,RL,8827,69886,0.027823840681330148,0.02567928873882695,0.029929769569693395,5000
