task_index,session,scan_idx,unit_id,readout_id,brain_area,original_response,selectivity_full,selectivity_leave_self_out
102558,6,4,2728,2494,V1,16.754894,0.6566823507518115,0.6553713362000735
102559,7,3,6493,5994,V1,26.011387,0.38869569461286657,0.38629948768870553
102560,6,6,6139,5697,V1,14.205478,0.40417469241963333,0.4038669403043951
102561,8,5,9274,8717,V1,3.0463517,0.18097489900759076,0.17982099594355272
102562,6,2,122,110,V1,31.413973,0.29563013943834543,0.29253335916446843
102563,7,3,7638,7066,V1,24.143143,0.3862870356706527,0.38329393348577667
102564,8,5,9146,8596,V1,25.965221,0.5534702421282661,0.5520455909072899
102565,6,7,7841,7144,V1,28.818098,0.36600296847782593,0.36338637158451126
102566,5,6,880,822,V1,134.01566,0.4669774180993511,0.46332980208943914
102567,9,4,3619,3363,V1,18.006256,0.23449315544375807,0.2344014079536917
102568,7,5,6014,5432,V1,3.7129471,0.1073749414501968,0.1073538366988045
102569,9,6,3203,2969,V1,33.914764,0.38317748266930224,0.3818260914214342
102570,5,6,3900,3602,V1,26.334631,0.5182582832214797,0.5175775522666051
102571,4,7,5042,4489,V1,63.970234,0.5377755179737577,0.5367763144575693
102572,9,4,5676,5293,V1,4.783946,0.10659143283109779,0.10657493338426244
102573,6,6,3398,3152,V1,26.464777,0.40012524055551935,0.39813321729150897
102574,6,4,6316,5851,V1,20.080421,0.34127588416142324,0.340510384261411
102575,8,5,3945,3750,V1,122.553314,0.6397775705775908,0.6367146358913807
102576,6,2,8125,7538,V1,17.35594,0.4219731009767445,0.41990195254889867
102577,4,7,5758,5115,V1,38.805878,0.4014389390265304,0.4009938129295645
102578,7,3,5214,4801,V1,32.017517,0.416701897297838,0.415634693610035
102579,6,2,8590,7993,V1,15.69908,0.5437227981710527,0.5436088773885596
102580,8,5,10279,9661,V1,18.985712,0.5485023223995183,0.5483028524152165
102581,7,3,3365,3116,V1,27.209784,0.4659688010038743,0.4649100484682853
102582,5,7,7933,7227,V1,18.574533,0.5419105369573904,0.5405150436997447
102583,7,3,3645,3362,V1,31.106394,0.5685796501094543,0.5667377075291811
102584,6,6,7725,7161,V1,8.400872,0.27981725473204155,0.27943874285159476
102585,6,4,8089,7501,V1,16.879967,0.5408743683922057,0.5390638193143386
102586,8,5,3085,2933,V1,36.30492,0.66126878116849,0.651813477036354
102587,7,3,6248,5764,V1,22.143318,0.511681088588898,0.5097942930802173
102588,7,3,4100,3792,V1,11.16005,0.27645958180399216,0.27616866453055844
102589,6,6,721,664,V1,7.9271603,0.3394098872272808,0.3390654184364047
102590,6,2,6453,5971,V1,45.620243,0.39471286436931186,0.39407482217285383
102591,6,7,7915,7218,V1,5.9771852,0.34266093748993137,0.3417679075107837
102592,4,7,5920,5257,V1,51.55411,0.52370292134447,0.5225366428897169
102593,6,2,6121,5651,V1,3.6943567,0.3084368746636265,0.30830145323599406
102594,8,5,970,922,V1,129.89383,0.55895159776124,0.5565234025889538
102595,4,7,4734,4199,V1,129.0379,0.6748208895308763,0.6542823040797401
102596,6,2,5674,5234,V1,44.941265,0.5742752206243629,0.573542238709708
102597,7,5,275,259,V1,6.081011,0.42793462765217954,0.42772733170104354
102598,5,7,8438,7725,V1,51.728317,0.5181641716728624,0.5168673358222927
102599,9,6,456,419,V1,20.295921,0.4014119293543458,0.40111247835172537
102600,7,5,8686,7885,V1,18.093214,0.26155694910908506,0.26142480025235293
102601,6,2,756,690,V1,24.074814,0.4024092532952055,0.4014945055724294
102602,6,2,855,786,V1,47.438805,0.42430799369863004,0.4225216983228476
102603,6,7,2873,2607,V1,8.45834,0.6153879994478778,0.6150083407337762
102604,6,4,2537,2315,V1,70.32852,0.6253382977110071,0.6220773906226663
102605,5,7,5293,4815,V1,55.780853,0.423610630176864,0.4213460656425768
102606,9,4,1385,1301,V1,34.640175,0.3831432784750919,0.38275917858875186
102607,7,5,2956,2681,V1,16.61712,0.3466308243163168,0.3434894529673669
102608,8,5,6120,5796,V1,57.38379,0.29462817355802573,0.29415450683304056
102609,8,5,563,541,V1,12.689619,0.19546077942591397,0.19499799906112023
102610,5,6,6392,5862,V1,114.52126,0.7852421854087587,0.7836793987662439
102611,5,7,522,483,V1,57.4577,0.2861836510198619,0.2845453614014184
102612,9,4,6542,6102,V1,64.77554,0.4457326725749632,0.44451124626611666
102613,6,7,5411,4920,V1,59.214916,0.5324137363899928,0.5292173780490996
102614,7,3,2267,2103,V1,44.355278,0.3196509618090284,0.3141066051892902
102615,6,4,208,195,V1,11.525089,0.21514737199471562,0.21464368470888762
102616,6,6,2438,2243,V1,8.45984,0.1692230769703624,0.1688643974161499
102617,8,5,678,649,V1,20.421568,0.2352619129159806,0.23472926539645145
102618,9,3,577,540,V1,142.88548,0.5415037460442873,0.5360738158660237
102619,9,4,6224,5803,V1,21.305592,0.4897955761490351,0.48873579755230717
102620,7,3,6796,6263,V1,30.419994,0.35949691265721345,0.3589397116633677
102621,9,4,3157,2925,V1,26.413565,0.3702287481181057,0.3698297182797809
102622,5,7,143,132,V1,35.971725,0.44716828867112335,0.4428372183189643
102623,9,4,854,800,V1,74.87635,0.5782268604978802,0.5750825774949381
102624,7,3,5753,5300,V1,127.9784,0.44276715440899284,0.44015582861498903
102625,6,2,3127,2879,V1,29.616419,0.4227896932876541,0.4213861690096282
102626,5,6,7450,6824,V1,13.143472,0.32593663029254966,0.3258432154421881
102627,6,4,7657,7073,V1,17.064074,0.3671719717494897,0.3664216002628549
102628,4,7,1309,1091,V1,29.452845,0.38633561283551243,0.38527124854562145
102629,8,5,564,542,V1,9.372726,0.2777013096454921,0.2746792525210731
102630,6,7,5286,4804,V1,13.5392685,0.43574213596798195,0.43543228420489727
102631,5,6,3450,3176,V1,19.166145,0.6078834578037053,0.6073474307376512
102632,6,7,5216,4745,V1,22.625957,0.33477547581264955,0.3340060360028934
102633,6,6,3978,3684,V1,16.765184,0.25474320169021203,0.25395995771346724
102634,9,3,8427,7768,V1,28.997587,0.47478679387709605,0.47446470072185565
102635,4,7,7495,6666,V1,4.758671,0.34489421618967386,0.34418787820063623
102636,9,6,1806,1674,V1,71.48749,0.46166112738785237,0.4563959033981635
102637,5,7,3641,3326,V1,18.973152,0.6476526581263549,0.6472935528115809
102638,9,6,215,196,V1,69.76304,0.5076260478731549,0.5063681934915112
102639,8,5,6016,5699,V1,83.939964,0.22468869157127913,0.2218761971753476
102640,6,7,7809,7112,V1,22.177223,0.40802702847909467,0.40733589108764995
102641,8,5,6928,6562,V1,20.147232,0.5178510353473686,0.5163681805905521
102642,5,6,5973,5471,V1,9.322882,0.3488418184700429,0.3486958310671443
102643,6,2,6335,5861,V1,21.477894,0.1770586442155413,0.17694386825708427
102644,4,7,1545,1302,V1,67.05767,0.5582594351982186,0.5546247802325985
102645,9,6,5365,5009,V1,6.821188,0.31777647779938584,0.3175813441304196
102646,9,4,6243,5821,V1,19.413824,0.47119986359882693,0.4709798450999537
102647,7,3,452,414,V1,4.6632943,0.4184888309860735,0.4183364045406237
102648,6,6,7733,7169,V1,8.083726,0.4520927198609539,0.4517035884759597
102649,5,7,6272,5699,V1,39.101357,0.38913098641417054,0.3843020566052401
102650,7,5,8426,7639,V1,17.141964,0.3258971441752856,0.32527963132003596
102651,8,5,4104,3907,V1,23.155312,0.215579644674515,0.21491694434875355
102652,7,5,4897,4445,V1,14.61643,0.6068028963260542,0.6063523518771152
102653,6,2,1032,955,V1,54.990284,0.6242309828845362,0.6235323009630638
102654,6,2,176,161,V1,33.26093,0.27523152845735604,0.2738262170289504
