task_index,session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
6142,5,6,8615,7960,1225.23,279.78,570.08,RL,8,0.19582,all_model_readouts_v1,8.646911358647212e+17,root_864691135864721116,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
6143,4,7,968,791,1087.37,674.82,104.92,V1,2,0.758978,all_model_readouts_v1,8.646911356401021e+17,root_864691135640102203,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6144,6,4,7143,6608,805.11,641.51,413.9,V1,6,0.928753,all_model_readouts_v1,8.646911363795707e+17,root_864691136379570645,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6145,5,7,7292,6622,964.73,698.05,438.02,V1,6,0.820532,all_model_readouts_v1,8.646911359764026e+17,root_864691135976402499,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
6146,9,4,3894,3630,361.72,609.58,180.45,V1,3,0.558697,all_model_readouts_v1,,,,unassigned,False,False,
6147,5,7,2076,1899,934.81,106.71,157.35,AL,2,0.472734,all_model_readouts_v1,8.646911349182625e+17,root_864691134918262538,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6148,4,7,6694,5926,1005.14,91.49,371.28,AL,6,0.457198,all_model_readouts_v1,8.646911359393897e+17,root_864691135939389697,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
6149,7,3,6674,6147,1215.19,111.12,416.07,AL,6,0.748381,all_model_readouts_v1,8.646911366181455e+17,root_864691136618145499,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
6150,9,3,1490,1374,749.2,156.54,318.12,AL,2,0.496154,all_model_readouts_v1,,,,unassigned,False,False,
6151,8,5,8791,8254,450.72,154.76,511.93,LM,7,0.557378,all_model_readouts_v1,,,,unassigned,False,False,
6152,9,4,4943,4606,1287.51,190.94,172.91,RL,4,0.50258,all_model_readouts_v1,8.646911360092361e+17,root_864691136009236142,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6153,4,7,5623,4997,1160.58,420.45,369.06,RL,6,0.697472,all_model_readouts_v1,8.646911353557087e+17,root_864691135355708623,L4c,L4,True,False,aibs_metamodel_mtypes_v661_v2
6154,6,4,7484,6926,1179.54,408.26,409.49,RL,6,0.417541,all_model_readouts_v1,8.64691135840112e+17,root_864691135840112019,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
6155,6,6,8134,7563,1224.89,472.66,532.21,RL,8,0.4174,all_model_readouts_v1,8.646911356556861e+17,root_864691135655686082,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
6156,6,2,1477,1355,1104.22,561.19,148.85,V1,2,0.546509,all_model_readouts_v1,8.64691135547102e+17,root_864691135547101992,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6157,6,6,6426,5964,936.11,590.89,402.68,V1,6,0.857529,all_model_readouts_v1,8.646911353742675e+17,root_864691135374267465,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
6158,6,4,8367,7775,852.78,475.03,544.16,V1,8,0.773526,all_model_readouts_v1,8.646911362269912e+17,root_864691136226991185,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
6159,7,5,6396,5801,187.87,994.64,373.23,V1,5,0.616857,all_model_readouts_v1,,,,unassigned,False,False,
6160,9,3,4395,4066,1090.75,201.25,326.95,AL,4,0.568117,all_model_readouts_v1,8.646911359890767e+17,root_864691135989076736,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6161,4,7,6194,5500,943.76,134.07,372.61,AL,6,0.853422,all_model_readouts_v1,8.64691135213619e+17,root_864691135213619000,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
6162,5,6,6726,6160,941.09,243.87,443.64,AL,6,0.585976,all_model_readouts_v1,8.646911365968019e+17,root_864691136596801954,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
6163,5,6,4121,3796,796.68,57.27,307.01,AL,4,0.678014,all_model_readouts_v1,,,,unassigned,False,False,
6164,6,4,7625,7041,638.92,288.32,544.02,LM,7,0.662261,all_model_readouts_v1,,,,unassigned,False,False,
6165,5,6,2290,2101,1303.36,603.81,169.33,RL,2,0.522311,all_model_readouts_v1,8.64691135123274e+17,root_864691135123274023,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6166,6,6,7210,6673,1162.32,185.35,397.92,RL,6,0.562356,all_model_readouts_v1,8.646911366740287e+17,root_864691136674028679,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
6167,6,7,8109,7409,941.89,421.13,527.75,RL,8,0.512131,all_model_readouts_v1,8.64691135118622e+17,root_864691135118621917,L5NP,L5,True,True,aibs_metamodel_mtypes_v661_v2
6168,6,2,8355,7763,1134.19,460.2,558.04,RL,8,0.425537,all_model_readouts_v1,8.646911357379928e+17,root_864691135737992817,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
6169,6,7,3546,3218,853.27,669.87,260.7,V1,4,0.517759,all_model_readouts_v1,8.646911366631644e+17,root_864691136663164382,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
6170,7,3,7091,6551,1266.91,936.36,423.06,V1,6,0.449949,all_model_readouts_v1,8.646911369124682e+17,root_864691136912468209,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
6171,4,7,7901,7046,831.34,914.93,508.11,V1,8,0.729988,all_model_readouts_v1,8.646911355167352e+17,root_864691135516735187,L5NP,L5,True,True,aibs_metamodel_mtypes_v661_v2
6172,8,5,9203,8647,628.43,733.78,511.91,V1,7,0.6137,all_model_readouts_v1,,,,unassigned,False,False,
6173,5,7,2337,2134,1022.93,140.84,156.86,AL,2,0.809812,all_model_readouts_v1,8.646911365421088e+17,root_864691136542108834,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
6174,9,3,8338,7682,1016.93,233.07,339.39,AL,6,0.488759,all_model_readouts_v1,8.64691135118646e+17,root_864691135118645981,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
