session,scan_idx,readout_id,task_index,unit_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
5,6,6810,782,7434,843.74,129.42,443.08,AL,6,0.571426,all_model_readouts_v1,8.646911361192845e+17,root_864691136119284504,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
6,6,7768,1368,8343,1074.09,127.18,528.04,AL,8,0.250495,all_model_readouts_v1,8.64691136939576e+17,root_864691136939576031,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
9,6,2618,43734,2815,540.89,288.76,222.12,LM,3,0.59257,all_model_readouts_v1,,,,unassigned,False,False,
6,4,5991,19388,6488,734.87,210.44,410.4,LM,6,0.89731,all_model_readouts_v1,,,,unassigned,False,False,
5,6,2611,59656,2848,276.09,340.6,309.96,LM,3,0.480984,all_model_readouts_v1,,,,unassigned,False,False,
5,6,3710,4344,4015,609.85,377.03,311.53,LM,3,0.503505,all_model_readouts_v1,,,,unassigned,False,False,
6,4,6758,14064,7300,1064.89,482.71,410.87,RL,6,0.8813,all_model_readouts_v1,8.64691135737778e+17,root_864691135737778052,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
7,5,2015,30856,2221,1151.4,414.78,193.69,RL,2,0.45151,all_model_readouts_v1,8.646911352794223e+17,root_864691135279422369,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
9,3,1378,2469,1494,951.73,163.09,317.88,AL,2,0.39201,all_model_readouts_v1,8.646911366952573e+17,root_864691136695257341,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
7,5,2013,31586,2219,1100.74,417.38,193.74,RL,2,0.858996,all_model_readouts_v1,8.646911363106705e+17,root_864691136310670426,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6,2,112,63730,124,706.49,406.32,155.34,LM,1,0.701962,all_model_readouts_v1,,,,unassigned,False,False,
6,4,6021,1595,6521,937.37,250.77,409.53,AL,6,0.846219,all_model_readouts_v1,8.646911360097409e+17,root_864691136009740972,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
6,7,1422,24569,1591,888.64,397.44,122.01,RL,2,0.490245,all_model_readouts_v1,8.646911364519972e+17,root_864691136451997183,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
7,5,3912,52505,4317,854.76,586.02,235.84,V1,4,0.784078,all_model_readouts_v1,8.646911356972243e+17,root_864691135697224346,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
6,4,1416,50171,1538,945.68,831.85,137.85,V1,2,0.552144,all_model_readouts_v1,8.646911354811479e+17,root_864691135481147846,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
5,7,1523,58856,1652,927.04,646.9,162.36,V1,2,0.492022,all_model_readouts_v1,8.646911363346528e+17,root_864691136334652851,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,6,4735,30051,5082,1186.99,410.71,222.26,RL,4,0.500231,all_model_readouts_v1,8.646911363123423e+17,root_864691136312342333,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
